     336  ! number of records (species) in the file
! data generated using NANNOOLAL SAR
! 1st line give the T used to estimate vapor pressure
! Psat (atm) @Tref (1st) and evaporation heat (kJ.mol-1) (2nd)
TREF 298.0
GHK4009   4.777E-07    89.6
GKO4001   2.292E-03    50.6
GDK4005   2.158E-04    61.1
GND3001   2.995E-03    51.1
GAN3000   1.772E-05    75.0
GGN3000   5.806E-05    69.6
GPN3001   1.056E-04    64.9
GNK4003   5.487E-06    77.9
GNN4000   3.086E-06    80.7
GHN4005   8.744E-07    86.0
GND4001   1.398E-04    63.8
GHD3001   8.639E-04    57.3
GAH3000   1.370E-06    86.5
GGH3000   7.613E-06    79.0
GPH3000   3.150E-05    71.2
GHK4003   4.777E-07    89.6
GHN4000   8.744E-07    86.0
GHH4000   6.755E-08    98.3
GHD4000   3.354E-05    69.2
GO02000   2.251E-01    35.7
GN02000   7.358E-02    38.4
GH02000   3.061E-02    43.2
GD03000   4.935E-01    30.0
GA03000   4.579E-03    51.1
GG03000   1.291E-02    46.5
GP03000   1.288E-02    43.9
GKO4002   1.194E-03    53.3
GNK4002   5.369E-04    57.7
GHK4002   2.022E-04    60.9
GK04000   1.361E-01    34.3
GDK4001   3.400E-02    40.5
GC02000   3.279E+01    15.1
GD02000   1.977E+00    25.2
GA02000   1.765E-02    46.0
GG02000   4.869E-02    41.6
GP02000   3.936E-02    39.7
GNK4007   5.487E-06    77.9
GHK4006   4.777E-07    89.6
GDK4003   2.158E-04    61.1
GAK4003   2.509E-07    92.9
GGK4003   1.307E-06    85.7
GPK4003   5.428E-06    77.5
GNK4004   5.487E-06    77.9
GNN4001   3.086E-06    80.7
GHN4002   8.744E-07    86.0
GNK4001   9.660E-04    55.3
GND4000   1.398E-04    63.8
GAN4001   4.113E-07    90.2
GGN4001   1.519E-06    84.3
GPN4001   2.962E-06    80.1
GHK4004   4.777E-07    89.6
GHN4001   8.744E-07    86.0
GHH4001   6.755E-08    98.3
GHK4001   3.938E-04    58.2
GHD4001   3.354E-05    69.2
GAH4001   3.357E-08   101.8
GGH4001   1.858E-07    94.2
GPH4001   9.424E-07    85.2
GKO3000   4.025E-03    48.1
GNK3000   1.695E-03    53.2
GHK3000   6.695E-04    55.8
GKO4000   1.194E-03    53.3
GNK4000   5.369E-04    57.7
GHK4000   2.022E-04    60.9
GDK4000   3.400E-02    40.5
GAK4000   1.162E-04    64.6
GGK4000   3.621E-04    59.6
GPK4000   4.260E-04    57.8
GDK3000   1.488E-01    35.2
GAK3000   4.145E-04    59.3
GGK3000   1.248E-03    54.6
GPK3000   1.252E-03    53.5
GKK4001   7.177E-05    66.0
GNK4006   1.094E-04    63.2
GHK4005   1.136E-05    74.0
GKK4000   3.737E-02    37.2
GDK4002   2.329E-03    48.9
GAK4002   5.573E-06    77.8
GGK4002   2.127E-05    71.9
GPK4002   8.505E-05    63.7
GDD3002   1.696E-05    74.5
GND3004   4.430E-05    69.3
GHD3004   3.761E-06    80.8
GDD3001   2.359E-03    52.2
GDD4000   5.732E-04    58.2
GDD2000   3.809E-03    50.7
GND4005   3.288E-06    80.5
GDD3000   1.866E-03    53.9
GDD4001   7.256E-05    65.3
GAN3005   1.476E-08   107.2
GAH3007   1.079E-09   118.6
GAD3002   3.380E-07    92.5
GAA3004   2.250E-09   113.8
GAG3004   1.586E-08   105.3
GPA3004   2.291E-08   104.7
GAN4004   2.678E-10   124.5
GAH4005   9.577E-12   140.0
GAD4002   9.757E-09   107.4
GAN3003   2.696E-08   103.9
GAH3006   1.924E-09   116.2
GAN3002   8.197E-07    88.2
GAA3002   3.544E-09   112.0
GAG3002   1.784E-08   104.8
GPA3002   3.141E-08   102.7
GAN4003   5.087E-10   121.1
GAH4002   3.282E-11   134.1
GAN4005   2.070E-08   103.6
GAH3003   1.924E-09   116.2
GAH3005   1.294E-10   128.3
GAH3002   4.756E-08   101.1
GAA3001   2.403E-10   124.2
GAG3001   1.814E-09   115.3
GPA3001   3.181E-09   113.5
GAH4006   3.282E-11   134.1
GAH4003   1.083E-12   150.1
GAH4007   1.236E-09   116.7
GAN2000   3.010E-05    72.9
GAH2000   1.759E-06    85.4
GAN3001   8.570E-06    78.0
GAH3001   5.668E-07    90.1
GAD3000   2.179E-04    63.5
GAA3000   1.675E-06    82.5
GAG3000   7.349E-06    76.4
GPA3000   8.598E-06    77.3
GAN4000   1.961E-07    93.4
GAH4000   1.403E-08   105.6
GAD4000   7.108E-06    76.8
GAD2000   7.753E-04    58.6
GAA2000   6.265E-06    76.4
GAG2000   2.699E-05    70.6
GPA2000   7.971E-05    68.2
GAN3004   6.753E-07    88.1
GAH3004   4.745E-08   100.2
GAD3001   2.558E-05    71.4
GAA3003   2.356E-08   103.6
GAG3003   1.496E-07    95.5
GPA3003   2.126E-06    82.8
GAN4002   8.215E-09   107.6
GAH4004   4.910E-10   120.7
GAD4001   2.683E-07    91.2
GGD3002   2.172E-06    84.4
GGG3004   8.450E-08    98.1
GPG3004   1.018E-07    98.0
GGD4002   5.919E-08    99.4
GGN3005   3.203E-06    82.1
GGG3002   7.410E-08    98.4
GPG3002   1.115E-07    96.8
GGN4005   8.805E-08    97.0
GGH3003   3.136E-07    92.8
GGG3001   1.042E-08   107.5
GPG3001   1.508E-08   106.4
GGH4007   7.958E-09   108.3
GGD3000   7.653E-04    58.0
GGG3000   2.573E-05    71.2
GPG3000   2.588E-05    72.2
GGD4000   2.574E-05    71.1
GGD2000   2.722E-03    53.2
GGD3001   8.967E-05    65.9
GGG3003   7.148E-07    88.6
GPG3003   6.530E-06    77.6
GGD4001   1.209E-06    84.5
GPD3002   1.129E-05    75.7
GPP3004   4.145E-07    90.1
GPD4002   3.994E-07    89.2
GPN3003   8.329E-06    76.0
GPP3001   7.706E-07    86.6
GPN4003   3.038E-07    90.5
GPH3005   1.898E-06    83.4
GPP3002   7.207E-08    97.9
GPH4007   6.426E-08    97.4
GPD3000   1.214E-03    53.8
GPP3000   4.922E-05    67.3
GPD4000   5.975E-05    66.5
GPD2000   8.473E-03    46.3
GPD3001   4.440E-04    58.5
GPP3003   2.102E-05    71.0
GPD4001   1.433E-05    71.8
END 
