! data generated using GROMHE SAR
GPH4001   2.845E+03
GKO3000   1.457E+03
GNK3000   1.000E+03
GHK3000   1.155E+04
GKO4000   3.014E+03
GNK4000   2.214E+03
GHK4000   6.432E+04
GDK4000   1.302E+04
GAK4000   3.868E+05
GGK4000   1.504E+05
GPK4000   5.483E+02
GDK3000   3.200E+04
GAK3000   3.100E+05
GGK3000   5.083E+04
GPK3000   1.645E+02
GKK4001   3.831E+05
GNK4006   1.971E+06
GHK4005   8.175E+06
GKK4000   7.500E+01
GDK4002   1.788E+09
GAK4002   2.993E+09
GGK4002   1.164E+09
GPK4002   3.278E+06
GDD3002   1.076E+06
GND3004   4.444E+09
GHD3004   8.536E+06
GDD3001   7.170E+04
GDD4000   2.077E+08
GDD2000   3.600E+05
GND4005   2.747E+13
GDD3000   2.351E+11
GDD4001   9.969E+16
GAN3005   8.427E+06
GAH3007   3.149E+08
GAD3002   5.080E+06
GAA3004   1.969E+07
GAG3004   7.656E+06
GPA3004   2.873E+04
GAN4004   6.066E+07
GAH4005   4.877E+09
GAD4002   3.432E+10
GAN3003   7.273E+06
GAH3006   2.718E+08
GAN3002   2.328E+09
GAA3002   9.945E+08
GAG3002   3.867E+08
GPA3002   1.451E+06
GAN4003   6.472E+10
GAH4002   6.187E+10
GAN4005   1.893E+13
GAH3003   6.684E+07
GAH3005   2.498E+09
GAH3002   4.029E+07
GAA3001   1.562E+08
GAG3001   6.073E+07
GPA3001   2.279E+05
GAH4006   1.294E+09
GAH4003   1.041E+11
GAH4007   7.322E+11
GAN2000   1.604E+05
GAH2000   1.159E+06
GAN3001   2.347E+05
GAH3001   6.893E+06
GAD3000   1.838E+06
GAA3000   3.700E+06
GAG3000   1.558E+07
GPA3000   5.700E+04
GAN4000   8.549E+07
GAH4000   2.385E+08
GAD4000   5.422E+09
GAD2000   1.090E+04
GAA2000   7.000E+06
GAG2000   1.984E+06
GPA2000   7.370E+03
GAN3004   2.390E+08
GAH3004   1.060E+09
GAD3001   2.928E+11
GAA3003   3.585E+10
GAG3003   9.690E+10
GPA3003   2.881E+08
GAN4002   2.336E+13
GAH4004   4.466E+13
GAD4001   5.494E+16
GGD3002   1.975E+06
GGG3004   2.977E+06
GPG3004   1.117E+04
GGD4002   1.334E+10
GGN3005   9.053E+08
GGG3002   1.504E+08
GPG3002   5.643E+05
GGN4005   7.361E+12
GGH3003   1.567E+07
GGG3001   2.361E+07
GPG3001   8.861E+04
GGH4007   2.847E+11
GGD3000   7.149E+05
GGG3000   6.058E+06
GPG3000   2.216E+04
GGD4000   2.108E+09
GGD2000   3.191E+06
GGD3001   1.139E+11
GGG3003   3.768E+10
GPG3003   1.120E+08
GGD4001   2.136E+16
GPD3002   6.760E+03
GPP3004   1.656E+02
GPD4002   4.438E+07
GPN3003   3.095E+06
GPP3001   2.117E+03
GPN4003   2.436E+10
GPH3005   5.362E+04
GPP3002   3.325E+02
GPH4007   9.470E+08
GPD3000   2.398E+03
GPP3000   8.109E+01
GPD4000   6.982E+06
GPD2000   9.392E+03
GPD3001   3.091E+08
GPP3003   3.330E+05
GPD4001   5.605E+13
END 
